frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
60,broadcast,player_04,1131,551,1174,640,1153.2036,596.2737,0.903581440448761,player
60,broadcast,player_04,1098,547,1140,618,1119.557,583.0039,0.8877654671669006,player
63,broadcast,player_04,1132,556,1197,641,1164.7632,599.1013,0.8837835192680359,player
63,broadcast,player_04,1121,541,1166,626,1144.4572,583.76294,0.8544272780418396,player
66,broadcast,player_04,1143,549,1211,641,1177.771,595.4074,0.8909091353416443,player
69,broadcast,player_04,1154,543,1206,641,1180.5017,592.5935,0.8827444314956665,player
69,broadcast,player_04,1174,541,1211,639,1192.7537,590.4386,0.7420809268951416,player
69,broadcast,player_04,1182,538,1214,624,1198.6641,581.74536,0.47827276587486267,player
72,broadcast,player_04,1170,538,1210,642,1190.3652,590.46643,0.866334855556488,player
72,broadcast,player_04,1199,540,1232,636,1216.095,588.15564,0.8054980635643005,player
75,broadcast,player_04,1217,532,1255,637,1236.4064,585.4102,0.8752036094665527,player
75,broadcast,player_04,1180,542,1220,641,1200.8318,591.8326,0.8638466000556946,player
78,broadcast,player_04,1189,543,1246,642,1218.3003,592.97437,0.9111133813858032,player
78,broadcast,player_04,1252,535,1285,635,1268.896,585.9075,0.8782975077629089,player
81,broadcast,player_04,1233,538,1284,641,1259.4045,590.1876,0.9164591431617737,player
81,broadcast,player_04,1295,537,1330,638,1312.7281,587.7606,0.9012212753295898,player
84,broadcast,player_04,1278,535,1315,642,1297.4344,589.12024,0.8945556282997131,player
87,broadcast,player_04,1319,535,1351,644,1335.2587,589.84204,0.8944829702377319,player
90,broadcast,player_04,1346,548,1406,648,1376.3016,598.39545,0.9168521761894226,player
93,broadcast,player_04,1394,549,1444,652,1419.0969,600.9755,0.9003570079803467,player
96,broadcast,player_04,1427,549,1459,657,1443.6206,603.422,0.8962844014167786,player
99,broadcast,player_04,1444,557,1481,668,1462.8872,613.3292,0.9055102467536926,player
102,broadcast,player_04,1457,570,1503,677,1480.782,624.2445,0.914749801158905,player
105,broadcast,player_04,1476,578,1514,684,1495.9603,631.3493,0.8984472751617432,player
108,broadcast,player_04,1488,580,1524,690,1506.7385,635.25885,0.8962488770484924,player
111,broadcast,player_04,1492,579,1544,696,1518.1515,637.56055,0.9207441210746765,player
114,broadcast,player_04,1501,591,1558,702,1529.7224,646.8036,0.9126214385032654,player
117,broadcast,player_04,1507,592,1557,704,1532.833,648.74316,0.8940202593803406,player
120,broadcast,player_04,1514,590,1553,708,1534.1655,649.7612,0.879253625869751,player
123,broadcast,player_04,1508,593,1552,712,1530.3339,653.24347,0.9063354730606079,player
6,broadcast,player_05,1225,458,1273,551,1249.3184,505.03543,0.9058641195297241,player
9,broadcast,player_05,1250,464,1307,559,1279.1409,512.21173,0.8957875370979309,player
12,broadcast,player_05,1266,469,1336,561,1301.2908,515.1035,0.9100946187973022,player
15,broadcast,player_05,1270,473,1338,564,1304.6614,518.6456,0.912056028842926,player
18,broadcast,player_05,1290,471,1361,563,1325.6635,517.88336,0.9044598340988159,player
21,broadcast,player_05,1304,473,1382,565,1343.3071,519.80206,0.9249151945114136,player
24,broadcast,player_05,1318,475,1361,560,1339.667,518.3502,0.8543229103088379,player
27,broadcast,player_05,1326,473,1387,564,1357.3005,518.9406,0.9064745306968689,player
30,broadcast,player_05,1320,474,1400,561,1360.435,518.2809,0.917990505695343,player
33,broadcast,player_05,1318,479,1388,564,1353.1284,521.9671,0.9110972285270691,player
36,broadcast,player_05,1315,479,1382,566,1348.7906,523.3533,0.9115707874298096,player
39,broadcast,player_05,1327,482,1396,565,1362.2684,524.2605,0.916175365447998,player
42,broadcast,player_05,1344,487,1393,567,1369.2413,527.7811,0.8283516764640808,player
42,broadcast,player_05,1341,485,1386,557,1364.2981,521.68396,0.8137093186378479,player
45,broadcast,player_05,1347,485,1417,569,1382.232,527.53687,0.9147059321403503,player
48,broadcast,player_05,1351,497,1420,575,1386.1321,536.0829,0.8777828216552734,player
48,broadcast,player_05,1346,491,1414,548,1380.3826,520.0224,0.7690136432647705,player
51,broadcast,player_05,1371,509,1404,580,1388.2898,544.52893,0.8840427994728088,player
51,broadcast,player_05,1347,497,1389,548,1368.4407,522.55304,0.8718461394309998,player
54,broadcast,player_05,1359,503,1424,584,1391.9388,543.9728,0.9098032712936401,player
57,broadcast,player_05,1367,505,1409,584,1388.4075,545.12317,0.9090261459350586,player
60,broadcast,player_05,1367,504,1425,587,1396.7018,545.8453,0.9276607632637024,player
63,broadcast,player_05,1364,504,1418,587,1391.484,546.4275,0.8934547305107117,player
66,broadcast,player_05,1376,515,1430,589,1403.7828,552.8589,0.889313817024231,player
66,broadcast,player_05,1341,511,1423,572,1382.4297,541.8957,0.5596139430999756,player
66,broadcast,player_05,1340,509,1397,555,1369.1171,532.4678,0.5458002090454102,player
69,broadcast,player_05,1356,524,1451,592,1404.086,558.5464,0.8693675398826599,player
69,broadcast,player_05,1343,518,1394,589,1369.1945,554.4304,0.7518560290336609,player
69,broadcast,player_05,1345,519,1413,588,1379.2981,554.1405,0.4057348668575287,player
72,broadcast,player_05,1389,530,1441,592,1415.7607,561.4433,0.8621116876602173,player
72,broadcast,player_05,1362,521,1404,567,1383.393,544.5244,0.7916421294212341,player
75,broadcast,player_05,1369,516,1432,591,1401.4406,554.13354,0.9081752896308899,player
78,broadcast,player_05,1383,511,1457,587,1420.5677,549.4193,0.9020503163337708,player
78,broadcast,player_05,1437,473,1479,538,1458.5996,505.65845,0.857287585735321,player
81,broadcast,player_05,1413,511,1480,591,1446.8827,551.3508,0.9056505560874939,player
81,broadcast,player_05,1461,478,1491,542,1476.3595,510.6686,0.880763828754425,player
84,broadcast,player_05,1451,501,1495,591,1473.3109,546.6649,0.8822149634361267,player
84,broadcast,player_05,1481,477,1521,553,1501.0461,515.3285,0.839271605014801,player
87,broadcast,player_05,1491,508,1545,593,1518.5021,551.0167,0.8739293813705444,player
87,broadcast,player_05,1512,481,1539,540,1526.1346,511.1379,0.8607921600341797,player
87,broadcast,player_05,1490,495,1535,575,1513.0508,535.4241,0.28525838255882263,player
90,broadcast,player_05,1526,500,1590,598,1558.4302,549.83777,0.8738105893135071,player
90,broadcast,player_05,1529,480,1574,554,1551.8884,517.5569,0.6758707165718079,player
93,broadcast,player_05,1551,484,1589,564,1570.4393,524.3112,0.8858505487442017,player
93,broadcast,player_05,1579,541,1614,602,1596.661,571.85425,0.7938051819801331,player
93,broadcast,player_05,1578,507,1613,602,1595.7993,555.034,0.6451829671859741,player
96,broadcast,player_05,1602,502,1636,607,1619.369,555.1278,0.8775256276130676,player
96,broadcast,player_05,1579,494,1608,559,1594.0684,527.3502,0.8535030484199524,player
99,broadcast,player_05,1623,512,1659,613,1641.6467,563.0552,0.892678439617157,player
99,broadcast,player_05,1584,498,1622,577,1603.5251,538.0884,0.8883033990859985,player
102,broadcast,player_05,1590,505,1622,591,1606.1206,548.2064,0.8652291893959045,player
102,broadcast,player_05,1645,527,1679,604,1662.635,565.9475,0.8590195775032043,player
105,broadcast,player_05,1594,514,1628,600,1611.2428,557.10254,0.9185314774513245,player
108,broadcast,player_05,1571,523,1635,607,1603.1733,565.8998,0.9106431603431702,player
111,broadcast,player_05,1574,534,1612,617,1593.3171,575.8817,0.9151557683944702,player
114,broadcast,player_05,1547,535,1617,617,1582.5405,576.59186,0.9166226387023926,player
117,broadcast,player_05,1548,537,1581,620,1564.8567,578.7385,0.8855741024017334,player
120,broadcast,player_05,1518,533,1566,621,1542.5116,577.31635,0.8983400464057922,player
123,broadcast,player_05,1493,537,1534,618,1514.2086,578.2519,0.8753114938735962,player
6,broadcast,player_06,1736,589,1783,694,1759.9541,642.2471,0.9020138382911682,player
