frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
125,broadcast,player_03,1712,545,1753,658,1733.199,602.0475,0.886055588722229,player
5,broadcast,player_04,877,575,934,671,906.0734,623.15546,0.8988417983055115,player
5,broadcast,player_04,815,554,863,645,839.65393,599.96704,0.897054135799408,player
5,broadcast,player_04,825,611,900,714,863.07715,663.3704,0.8887011408805847,player
10,broadcast,player_04,829,571,878,665,854.1592,618.65936,0.9004547595977783,player
10,broadcast,player_04,849,614,907,729,878.63135,671.6328,0.8819680213928223,player
10,broadcast,player_04,920,578,959,670,939.7315,624.34076,0.8630636930465698,player
15,broadcast,player_04,837,568,894,665,866.39886,616.8738,0.8985413908958435,player
15,broadcast,player_04,863,610,914,719,888.9381,665.2037,0.8819606304168701,player
20,broadcast,player_04,866,609,944,712,905.3765,660.96515,0.920373797416687,player
20,broadcast,player_04,857,559,913,648,885.5054,604.0398,0.9013363718986511,player
25,broadcast,player_04,881,604,923,710,902.6318,657.7337,0.8865727782249451,player
25,broadcast,player_04,893,552,938,641,916.0728,596.86707,0.8532760739326477,player
30,broadcast,player_04,913,543,970,631,941.92255,587.19293,0.901957631111145,player
30,broadcast,player_04,875,592,940,701,907.6862,646.81165,0.9008740186691284,player
35,broadcast,player_04,925,538,981,629,953.6763,584.4188,0.9070870876312256,player
35,broadcast,player_04,883,590,929,698,906.26434,644.2392,0.8998903632164001,player
40,broadcast,player_04,883,592,948,696,915.93713,644.2346,0.9252350330352783,player
45,broadcast,player_04,903,589,953,698,928.4946,643.84607,0.9162126183509827,player
50,broadcast,player_04,914,600,962,697,938.73083,648.6118,0.9066082835197449,player
55,broadcast,player_04,904,598,990,700,947.6166,649.6544,0.9298009276390076,player
60,broadcast,player_04,913,599,957,702,935.84143,650.98254,0.9068562388420105,player
65,broadcast,player_04,894,607,953,703,923.93463,655.3128,0.917565107345581,player
70,broadcast,player_04,897,603,947,705,922.4606,654.41656,0.9210412502288818,player
75,broadcast,player_04,879,608,944,705,912.3782,657.2572,0.9111635684967041,player
80,broadcast,player_04,897,605,978,705,937.88086,655.62146,0.923477292060852,player
85,broadcast,player_04,945,605,992,706,969.0921,655.9877,0.8958795666694641,player
90,broadcast,player_04,993,608,1039,704,1016.6884,656.87354,0.9214913845062256,player
95,broadcast,player_04,1045,604,1078,705,1061.7213,655.17737,0.8997983932495117,player
100,broadcast,player_04,1062,619,1103,721,1082.9578,670.76373,0.8690518140792847,player
105,broadcast,player_04,1081,631,1119,730,1100.9114,680.9306,0.8744186758995056,player
110,broadcast,player_04,1096,629,1133,739,1114.8398,684.9114,0.9099862575531006,player
115,broadcast,player_04,1102,635,1150,748,1126.9525,691.73773,0.904795229434967,player
120,broadcast,player_04,1102,639,1153,754,1127.6633,696.62976,0.8981644511222839,player
125,broadcast,player_04,1103,640,1153,760,1128.6709,700.3424,0.9041765928268433,player
5,broadcast,player_05,1650,440,1712,520,1681.5194,480.75037,0.8965820074081421,player
10,broadcast,player_05,1661,452,1711,536,1686.5317,494.49048,0.9118868112564087,player
